# RTVLAS Proof Log
frame=30 timestamp_ms=6000 verdict=Flag trust=0.973 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=31 timestamp_ms=6200 verdict=Flag trust=0.946 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=32 timestamp_ms=6400 verdict=Flag trust=0.920 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=33 timestamp_ms=6600 verdict=Flag trust=0.893 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=34 timestamp_ms=6800 verdict=Flag trust=0.866 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=35 timestamp_ms=7000 verdict=Flag trust=0.839 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=36 timestamp_ms=7200 verdict=Flag trust=0.812 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=37 timestamp_ms=7400 verdict=Flag trust=0.786 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=38 timestamp_ms=7600 verdict=Flag trust=0.759 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=39 timestamp_ms=7800 verdict=Flag trust=0.732 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=40 timestamp_ms=8000 verdict=Flag trust=0.705 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=41 timestamp_ms=8200 verdict=Flag trust=0.678 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=42 timestamp_ms=8400 verdict=Flag trust=0.652 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=43 timestamp_ms=8600 verdict=Flag trust=0.625 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=44 timestamp_ms=8800 verdict=Flag trust=0.598 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=45 timestamp_ms=9000 verdict=Flag trust=0.571 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=46 timestamp_ms=9200 verdict=Flag trust=0.544 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=47 timestamp_ms=9400 verdict=Flag trust=0.518 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=48 timestamp_ms=9600 verdict=Flag trust=0.491 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=49 timestamp_ms=9800 verdict=Flag trust=0.464 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=50 timestamp_ms=10000 verdict=Flag trust=0.437 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=51 timestamp_ms=10200 verdict=Flag trust=0.410 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=52 timestamp_ms=10400 verdict=Flag trust=0.384 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=53 timestamp_ms=10600 verdict=Flag trust=0.357 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=54 timestamp_ms=10800 verdict=Flag trust=0.330 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=55 timestamp_ms=11000 verdict=Flag trust=0.303 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=56 timestamp_ms=11200 verdict=Flag trust=0.276 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=57 timestamp_ms=11400 verdict=Flag trust=0.250 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=58 timestamp_ms=11600 verdict=Flag trust=0.223 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
frame=59 timestamp_ms=11800 verdict=Flag trust=0.196 causes=[Decision Chain Latency Bound=Flag, Human-ACP Intent Alignment=Flag, Debrief Evidence Completeness=Flag, Collaborative Timeline Continuity=Flag]
